BOROUGH,HOPE Area,Team Number,Needs NYPD?,Hard to Reach,Park,Station,Route,End of Line,Precinct,Training Site,
K,699,3,NO,,,,,,66,PS102,
K,700,3,NO,,,,,,66,PS102,
K,710,4,NO,,,,,,66,PS102,
K,711,4,NO,,,,,,66,PS102,
K,883,3,NO,,,,,,66,PS102,
K,889,5,NO,,,,,,66,PS102,
K,893,6,NO,,,,,,66,PS102,
K,894,6,NO,,,,,,66,PS102,
K,903,6,NO,,,,,,66,PS102,
K,904,6,NO,,,,,,66,PS102,
K,905,6,NO,,,,,,66,PS102,
K,968,5,NO,,,,,,66,PS102,
K,1689,5,NO,,,,,,66,PS102,
T,61,3,NO,,,50 St,D,,66,PS102,
T,247,5,NO,,,Bay Pkwy,F,,66,PS102,
K,673,11,YES,,,,,,68,PS102,
K,675,12,NO,,,,,,68,PS102,
K,677,12,NO,,,,,,68,PS102,
K,719,10,NO,,,,,,68,PS102,
K,720,10,YES,,,,,,68,PS102,
K,721,10,NO,,,,,,68,PS102,
K,722,10,NO,,,,,,68,PS102,
K,746,12,NO,,,,,,68,PS102,
K,748,11,YES,,,,,,68,PS102,
K,756,11,YES,,,,,,68,PS102,
K,760,12,NO,,,,,,68,PS102,
K,771,8,NO,,,,,,68,PS102,
K,777,8,NO,,,,,,68,PS102,
K,787,9,NO,,,,,,68,PS102,
K,788,9,NO,,,,,,68,PS102,
K,791,9,NO,,,,,,68,PS102,
K,792,7,NO,,,,,,68,PS102,
K,795,8,NO,,,,,,68,PS102,
K,796,7,NO,,,,,,68,PS102,
K,1630,HTR,NO,1,,,,,68,PS102,
K,1650,7,NO,,,,,,68,PS102,
T,36,11,NO,,,Bay Ridge Av,R,,68,PS102,
T,38,8,NO,,,86 St,R,,68,PS102,
T,39,EOL,NO,,,Bay Ridge - 95 St,R,1,68,PS102,
K,542,18,NO,,,,,,72,PS102,
K,587,13,NO,,,,,,72,PS102,
K,589,17,NO,,,,,,72,PS102,
K,590,18,NO,,,,,,72,PS102,
K,598,17,NO,,,,,,72,PS102,
K,607,13,NO,,,,,,72,PS102,
K,623,13,NO,,,,,,72,PS102,
K,649,15,NO,,,,,,72,PS102,
K,657,14,NO,,,,,,72,PS102,
K,661,15,NO,,,,,,72,PS102,
K,671,16,NO,,,,,,72,PS102,
K,672,16,NO,,,,,,72,PS102,
K,674,16,NO,,,,,,72,PS102,
K,678,15,NO,,,,,,72,PS102,
K,679,15,NO,,,,,,72,PS102,
T,33,14,NO,,,45 St,R,,72,PS102,
T,34,14,NO,,,53 St,R,,72,PS102,
T,35,16,NO,,,59 St,N-R,,72,PS102,
T,241,18,NO,,,15 St - Prospect Park,F-G,,72,PS102,
T,242,17,NO,,,Fort Hamilton Pkwy,F-G,,72,PS102,
K,379,4,Y,,,,,,73,PS167,
K,383,4,Y,,,,,,73,PS167,
K,430,1,Y,,,,,,73,PS167,
K,1291,1,Y,,,,,,73,PS167,
K,1299,3,Y,,,,,,73,PS167,
K,1301,2,Y,,,,,,73,PS167,
K,1302,2,Y,,,,,,73,PS167,
K,1304,2,Y,,,,,,73,PS167,
K,1315,1,Y,,,,,,73,PS167,
K,1317,3,Y,,,,,,73,PS167,
K,1318,3,Y,,,,,,73,PS167,
K,1324,3,Y,,,,,,73,PS167,
K,1327,1,Y,,,,,,73,PS167,
K,1328,4,Y,,,,,,73,PS167,
T,349,3,N ,,,Junius St,3,,73,PS167,
K,393,11,Y,,,,,,75,PS167,
K,394,11,Y,,,,,,75,PS167,
K,395,11,Y,,,,,,75,PS167,
K,1332,12,Y,,,,,,75,PS167,
K,1336,12,Y,,,,,,75,PS167,
K,1340,11,Y,,,,,,75,PS167,
K,1347,12,Y,,,,,,75,PS167,
K,1350,10,Y,,,,,,75,PS167,
K,1353,7,Y,,,,,,75,PS167,
K,1358,7,Y,,,,,,75,PS167,
K,1370,10,Y,,,,,,75,PS167,
K,1371,9,Y,,,,,,75,PS167,
K,1372,9,Y,,,,,,75,PS167,
K,1374,10,Y,,,,,,75,PS167,
K,1375,10,Y,,,,,,75,PS167,
K,1376,9,Y,,,,,,75,PS167,
K,1378,9,Y,,,,,,75,PS167,
K,1384,8,Y,,,,,,75,PS167,
K,1385,8,Y,,,,,,75,PS167,
K,1391,8,Y,,,,,,75,PS167,
K,1403,7,Y,,,,,,75,PS167,
K,1404,7,Y,,,,,,75,PS167,
K,1440,5,Y,,,,,,75,PS167,
K,1446,5,Y,,,,,,75,PS167,
K,1448,6,Y,,,,,,75,PS167,
K,1462,6,Y,,,,,,75,PS167,
K,1464,6,Y,,,,,,75,PS167,
K,1470,6,Y,,,,,,75,PS167,
K,1482,5,Y,,,,,,75,PS167,
K,1486,5,Y,,,,,,75,PS167,
T,86,7,N,,,Cypress Hills,J,,75,PS167,
T,88,8,N,,,Norwood Av,J,,75,PS167,
T,90,11,N,,,Van Siclen Av,J,,75,PS167,
T,132,14,N,,,Broadway Junction (Eastern Pkwy),L,,75,PS167,
T,133,14,N,,,Atlantic Av,L,,75,PS167,
T,350,12,N,,,Pennsylvania Av,3,,75,PS167,
T,352,EOL,Y,,,New Lots Av,3,1,75,PS167,
K,143,15,Y,,,,,,81,PS167,
K,145,15,Y,,,,,,81,PS167,
K,201,13,Y,,,,,,81,PS167,
K,245,13,Y,,,,,,81,PS167,
T,98,15,N,,,Flushing Av,J-M,,81,PS167,
T,181,13,N,,,Utica Av,A-C,,81,PS167,
K,438,1,NO,,,,,,71,PS241,
K,439,1,NO,,,,,,71,PS241,
K,464,2,NO,,,,,,71,PS241,
K,465,2,NO,,,,,,71,PS241,
K,467,2,NO,,,,,,71,PS241,
K,470,1,NO,,,,,,71,PS241,
K,471,1,NO,,,,,,71,PS241,
K,477,2,NO,,,,,,71,PS241,
K,487,2,NO,,,,,,71,PS241,
K,355,3,N,,,,,,77,PS241,
K,361,3,Y,,,,,,77,PS241,
K,404,4,Y,,,,,,77,PS241,
K,405,4,Y,,,,,,77,PS241,
K,408,4,Y,,,,,,77,PS241,
K,421,5,Y,,,,,,77,PS241,
K,437,3,Y,,,,,,77,PS241,
K,440,4,Y,,,,,,77,PS241,
K,442,5,Y,,,,,,77,PS241,
K,449,5,Y,,,,,,77,PS241,
K,44,6,Y,,,,,,79,PS241,
K,88,6,Y,,,,,,79,PS241,
K,213,6,Y,,,,,,79,PS241,
K,219,7,Y,,,,,,79,PS241,
K,248,8,Y,,,,,,79,PS241,
K,265,7,Y,,,,,,79,PS241,
K,363,7,Y,,,,,,79,PS241,
K,366,8,Y,,,,,,79,PS241,
K,367,8,Y,,,,,,79,PS241,
T,179,8,N,,,Nostrand Av,A-C,,79,PS241,
T,290,7,N,,,Classon Av,G,,79,PS241,
K,142,13,Y,,,,,,83,PS257,
K,146,13,Y,,,,,,83,PS257,
K,151,13,Y,,,,,,83,PS257,
K,155,8,N,,,,,,83,PS257,
K,158,8,N,,,,,,83,PS257,
K,164,9,N,,,,,,83,PS257,
K,166,8,N,,,,,,83,PS257,
K,171,13,Y,,,,,,83,PS257,
K,177,11,Y,,,,,,83,PS257,
K,181,12,Y,,,,,,83,PS257,
K,183,9,Y,,,,,,83,PS257,
K,188,11,Y,,,,,,83,PS257,
K,190,12,Y,,,,,,83,PS257,
K,197,11,Y,,,,,,83,PS257,
K,198,12,Y,,,,,,83,PS257,
K,199,12,Y,,,,,,83,PS257,
K,200,10,Y,,,,,,83,PS257,
K,385,10,Y,,,,,,83,PS257,
K,386,10,Y,,,,,,83,PS257,
T,92,10,N,,,Broadway Junction (Eastern Pkwy),J-Z,,83,PS257,
T,113,8,N,,,Knickerbocker Av,M,,83,PS257,
T,114,13,N,,,Central Av,M,,83,PS257,
